id,tenant_id,user_id,action,entity_type,entity_id,metadata,created_at,resource_type,resource_id,payload
7376d9a1-6c79-439c-b826-7efd1d6e7c1d,ec262415-24a4-4750-809f-a71c9a8630cb,8d2924f6-79d5-4cdc-99b5-c80225622e4e,exported,report,f41c78b1-4ab6-4663-8f8d-10fe32097d18,"{""ip_address"":""103.224.76.17"",""source"":""api""}",2025-10-04T11:52:12+05:30,report,f41c78b1-4ab6-4663-8f8d-10fe32097d18,"{""after"":{""action"":""exported""},""before"":{},""compliance_hold"":false}"
ed41d76d-a991-447b-872b-45b930b095cc,875b43ca-e50b-4b68-b2a1-7d83a52f0e4e,2367a6cd-7327-4ce5-9ffb-f8803885a458,updated,tenant_api_key,3ad0c4c6-e63c-47f6-aa3f-8e77699e1561,"{""ip_address"":""103.88.25.126"",""source"":""web""}",2025-12-01T09:49:00+05:30,tenant_api_key,3ad0c4c6-e63c-47f6-aa3f-8e77699e1561,"{""after"":{""action"":""updated""},""before"":{},""compliance_hold"":false}"
61302dd6-b342-401f-b922-ec24cc41511c,f1c4a3da-cc53-4b18-ac9b-c1a56269c55f,1ba955a3-26c3-47bd-a34b-740ad99facdf,updated,user,98622bb4-8e17-4404-9da3-f887af30c14c,"{""ip_address"":""103.183.98.116"",""source"":""api""}",2025-06-26T07:23:50+05:30,user,98622bb4-8e17-4404-9da3-f887af30c14c,"{""after"":{""action"":""updated""},""before"":{},""compliance_hold"":false}"
8bb0082b-96b6-4078-8875-9fd9dc06b784,73423e8d-6f09-46ea-b4ff-b7e4f2a7352d,a4009800-2593-4b4f-85ec-dd6218280420,archived,conversation,59d34cbd-267d-4fe0-8fd9-29467be89e1f,"{""ip_address"":""103.246.44.215"",""source"":""web""}",2026-06-10T19:40:57+05:30,conversation,59d34cbd-267d-4fe0-8fd9-29467be89e1f,"{""after"":{""action"":""archived""},""before"":{},""compliance_hold"":false}"
73c00b17-4659-44c4-9e3c-078395a04e27,72ccb5a3-64de-4764-b52a-09dcd603eec6,351764e1-3c72-4acf-bad5-4d24f9780bef,logout,conversation,dc31945d-72c1-4212-8714-10f66c18b978,"{""ip_address"":""33.12.228.250"",""source"":""system""}",2026-04-24T09:19:59+05:30,conversation,dc31945d-72c1-4212-8714-10f66c18b978,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
fb0418fd-4b09-42f7-9205-b4706d92a7e8,a8460647-d655-4282-9454-a9078e6b5fc1,4683d261-12aa-4dea-b6fa-0fb8613cf6c9,logout,document,17476723-dc44-4b83-be3b-819724741b53,"{""ip_address"":""103.57.11.86"",""source"":""api""}",2026-04-22T00:53:18+05:30,document,17476723-dc44-4b83-be3b-819724741b53,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
de3246f0-6478-41c4-99d6-2ce8d75f2632,e6fd9680-1ead-4f21-8160-7a515287a677,b79ef147-0bad-4cb3-ab05-b106bffebfce,login,tenant_api_key,45ce9e8d-f626-47a5-af05-0e5b0dad93eb,"{""ip_address"":""103.211.87.214"",""source"":""web""}",2025-10-30T10:21:08+05:30,tenant_api_key,45ce9e8d-f626-47a5-af05-0e5b0dad93eb,"{""after"":{""action"":""login""},""before"":{},""compliance_hold"":false}"
7717c86d-7d47-4b44-8570-0b2ef232af5d,5c047d08-cca0-407e-8bb6-5a0faf0f1fb9,bd490291-a3cc-4fed-a877-c1f8793dc149,login,task,172805a9-d9b0-41f4-b93b-f5ec1573caa5,"{""ip_address"":""112.142.86.185"",""source"":""system""}",2026-01-06T04:35:58+05:30,task,172805a9-d9b0-41f4-b93b-f5ec1573caa5,"{""after"":{""action"":""login""},""before"":{},""compliance_hold"":false}"
050c179e-42a9-4207-b198-622087a1ffb9,58833eba-ab3d-4521-871a-2d96c4003e0c,90a714c3-7ac5-4258-9aaf-806554ee8863,archived,conversation,d7f6d479-8744-4c67-8a05-10c630c9a0f1,"{""ip_address"":""103.81.99.101"",""source"":""web""}",2026-03-10T12:43:43+05:30,conversation,d7f6d479-8744-4c67-8a05-10c630c9a0f1,"{""after"":{""action"":""archived""},""before"":{},""compliance_hold"":false}"
181a36aa-d8d9-451c-9814-2d87755bf519,e541839d-008d-4108-9e8f-4056e9a05243,f6f2b7e5-94a5-42ba-ad70-c60880a0aaa7,created,conversation,26e70e44-4199-469e-9776-c8e2a01fc346,"{""ip_address"":""62.125.179.134"",""source"":""api""}",2025-07-18T04:12:35+05:30,conversation,26e70e44-4199-469e-9776-c8e2a01fc346,"{""after"":{""action"":""created""},""before"":{},""compliance_hold"":false}"
3c9ed267-f2af-4546-9bdd-19ad64baf60f,128240cf-ca40-43bd-9d1d-51018dbf2acd,00ce3ff9-9d95-4f85-84e7-4fc71c1242cf,exported,tenant_api_key,92785a41-87ae-4b54-87a0-9867f5dca0d3,"{""ip_address"":""103.158.165.88"",""source"":""web""}",2026-03-11T05:21:58+05:30,tenant_api_key,92785a41-87ae-4b54-87a0-9867f5dca0d3,"{""after"":{""action"":""exported""},""before"":{},""compliance_hold"":false}"
1d95e5fd-c591-496f-ad18-8c72a3fea256,c64266f3-ae48-44d3-9917-ca4f69a1e9d2,824b640e-07b1-45da-b31d-7c48e5bba2e8,logout,tenant_api_key,b6d5968c-70b5-45e4-b337-5cbd82336de1,"{""ip_address"":""83.24.105.181"",""source"":""system""}",2025-12-04T02:40:58+05:30,tenant_api_key,b6d5968c-70b5-45e4-b337-5cbd82336de1,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
ef2150bd-2925-40f8-af08-86e93d3d3631,8f64246d-aad6-4c7e-a3bb-03d6509189d3,714ee827-98f2-47a3-b01c-ec3be5407a00,created,tenant_api_key,d0829b51-aacc-424d-9985-250fad5cfa75,"{""ip_address"":""103.232.124.177"",""source"":""api""}",2026-03-13T05:47:51+05:30,tenant_api_key,d0829b51-aacc-424d-9985-250fad5cfa75,"{""after"":{""action"":""created""},""before"":{},""compliance_hold"":false}"
b9b23e92-3f1e-4975-bde3-1a6d3f8432f8,07e90382-0937-43c6-9386-cd388511ba7c,56cc9430-9734-4c6c-9c7f-8947f833747d,logout,project,b6de9eeb-e339-49a2-b5cb-0a8cca87966e,"{""ip_address"":""103.167.228.220"",""source"":""system""}",2026-01-16T03:05:20+05:30,project,b6de9eeb-e339-49a2-b5cb-0a8cca87966e,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
d046bbb1-17da-449c-a7c1-f90d0f2b05cf,c13d77d1-1c50-4a47-8126-79be3f85bdd5,11e2f866-5cfe-4732-895a-45b2c3c6fc95,created,report,eef6b456-7c2b-430a-ac6a-281fff5c713a,"{""ip_address"":""103.176.10.15"",""source"":""web""}",2026-01-22T03:20:44+05:30,report,eef6b456-7c2b-430a-ac6a-281fff5c713a,"{""after"":{""action"":""created""},""before"":{},""compliance_hold"":false}"
3e7362be-8c67-4d37-bebe-d68468459a5f,afdad37c-ef9c-4e8e-ac35-fd054f186ca4,ca28f85b-3f61-4fc3-ac5b-28a693ae373e,permission_changed,tenant_api_key,30dd2f67-caf7-4798-bf44-7ab9b77ed2b8,"{""ip_address"":""207.155.23.169"",""source"":""api""}",2025-12-19T02:12:20+05:30,tenant_api_key,30dd2f67-caf7-4798-bf44-7ab9b77ed2b8,"{""after"":{""action"":""permission_changed""},""before"":{},""compliance_hold"":false}"
ea40c6dd-0189-4eb8-8f44-e85238be9d10,03b6e20c-f8a1-4912-8e32-cc0a34e54e78,17ef1a64-63dc-4949-95bd-47158193be7a,created,report,f99b272d-4beb-4ae9-b5fa-3b6625a000bf,"{""ip_address"":""103.37.178.66"",""source"":""api""}",2025-07-14T13:14:14+05:30,report,f99b272d-4beb-4ae9-b5fa-3b6625a000bf,"{""after"":{""action"":""created""},""before"":{},""compliance_hold"":false}"
4ef41bbb-1ab8-4b78-a5e0-7fb518046256,8508f803-80d1-4c36-86a2-e28aa19a025b,6735584f-b7cc-4147-828a-7b52ab321c64,exported,document,c83708ff-8fa7-4e8c-9160-fb2f8a241698,"{""ip_address"":""103.153.98.238"",""source"":""web""}",2025-12-23T11:35:54+05:30,document,c83708ff-8fa7-4e8c-9160-fb2f8a241698,"{""after"":{""action"":""exported""},""before"":{},""compliance_hold"":false}"
eec5f175-e0dc-415e-8ccc-3b834ef8f0cd,25a4d5dd-e6bc-4076-a5a3-cca297e4f4eb,a9e8eabf-46bc-4f0c-a36c-45339f37c324,deleted,task,16e9c672-cba4-4bef-8992-30fd5f8813d9,"{""ip_address"":""103.143.213.106"",""source"":""api""}",2026-02-08T11:45:12+05:30,task,16e9c672-cba4-4bef-8992-30fd5f8813d9,"{""after"":{""action"":""deleted""},""before"":{},""compliance_hold"":false}"
eeb8cc6e-d6c5-4ec2-88ae-9c74227256a4,dcd08765-b307-47bf-8358-26224a0e6993,c59b2484-8fd6-4975-9db6-b03d6ea75064,logout,user,beffa15c-1473-497f-8216-8fc49a474692,"{""ip_address"":""103.144.205.39"",""source"":""web""}",2026-02-18T08:55:29+05:30,user,beffa15c-1473-497f-8216-8fc49a474692,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
c9dc3357-e930-404d-9042-c3068a2184e3,2705d120-a186-4f96-b0f8-abfb0787dc27,45c553bd-c9c0-42dd-8216-0af6c9ba0c91,login,document,247c92b5-2d04-4134-b578-0952928d316a,"{""ip_address"":""74.251.154.236"",""source"":""system""}",2026-04-29T10:30:41+05:30,document,247c92b5-2d04-4134-b578-0952928d316a,"{""after"":{""action"":""login""},""before"":{},""compliance_hold"":false}"
83856068-c611-42b0-8c25-4371cbaae223,c106817b-6065-4741-b80e-e7704915eed8,cb3b9a9e-a77f-48d4-89c4-d5b91dd69d71,login,report,6978cfd5-5da0-4bed-9496-f456ceebe549,"{""ip_address"":""103.83.46.214"",""source"":""web""}",2025-10-30T13:35:47+05:30,report,6978cfd5-5da0-4bed-9496-f456ceebe549,"{""after"":{""action"":""login""},""before"":{},""compliance_hold"":false}"
182a83f1-870f-4300-adbf-19e00ac9bb6a,4307c866-0d1b-4f31-b8e8-4505ccda9968,1b0e69dc-e618-4c1a-9183-58697b68fc29,archived,conversation,e2e860a7-f7dc-4bab-bbb5-1880b4f771b9,"{""ip_address"":""103.150.190.15"",""source"":""api""}",2025-07-29T02:29:03+05:30,conversation,e2e860a7-f7dc-4bab-bbb5-1880b4f771b9,"{""after"":{""action"":""archived""},""before"":{},""compliance_hold"":false}"
7e5f05d0-c3a5-4347-b7d9-f10c01cd74ac,4a08e402-54b3-4064-a098-0e08175ccd21,352bd7b0-62f8-4cc7-874c-8e2193483677,archived,report,63224176-447b-4a00-9c08-e80ce3aba002,"{""ip_address"":""103.57.190.195"",""source"":""web""}",2025-07-18T12:11:20+05:30,report,63224176-447b-4a00-9c08-e80ce3aba002,"{""after"":{""action"":""archived""},""before"":{},""compliance_hold"":false}"
52311a56-5bb6-43b0-a4ff-ae2e21808c65,2835100c-3e9c-46f1-b19a-2f52e8d3a8ac,e5ec58e5-7c6b-4a50-a991-b768286287c7,logout,tenant_api_key,0be43bdd-9498-4042-a35d-f503ff7a1266,"{""ip_address"":""40.202.85.25"",""source"":""system""}",2026-05-21T10:47:39+05:30,tenant_api_key,0be43bdd-9498-4042-a35d-f503ff7a1266,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
1f1b0419-c9d5-4de0-a530-cbfc0f995202,e4665af6-6afd-48f2-b9ba-9d22b9f3e1ea,8c62bfe3-acec-4ba4-891a-1ff316f0f5fa,deleted,conversation,7336185d-e75d-4b94-beb6-1065e2f5f0b7,"{""ip_address"":""103.98.125.243"",""source"":""api""}",2026-01-03T11:30:09+05:30,conversation,7336185d-e75d-4b94-beb6-1065e2f5f0b7,"{""after"":{""action"":""deleted""},""before"":{},""compliance_hold"":false}"
d111f6a4-dbe9-4636-b640-00545dd81936,100c4078-8ca9-46bf-8333-888657c8f573,1f904843-2bfb-4095-9a4a-a905e4ecdef7,created,tenant_api_key,394d413b-e419-4c18-881c-256814c86622,"{""ip_address"":""103.50.92.236"",""source"":""api""}",2025-11-21T08:12:33+05:30,tenant_api_key,394d413b-e419-4c18-881c-256814c86622,"{""after"":{""action"":""created""},""before"":{},""compliance_hold"":false}"
c6257d80-5619-438d-821d-bb24550181e4,b7dd66c7-6f23-4241-9007-8caa210291b5,aaaa7936-ca6c-412e-a0b6-15e15ec9b92e,permission_changed,task,65d4e32f-d66a-42d4-8911-2c2179b9e8d8,"{""ip_address"":""103.65.1.103"",""source"":""system""}",2025-12-05T11:48:09+05:30,task,65d4e32f-d66a-42d4-8911-2c2179b9e8d8,"{""after"":{""action"":""permission_changed""},""before"":{},""compliance_hold"":false}"
ce8a38b3-f2f8-42ee-b477-cabc0dcfd411,4a86ee50-4242-4867-81c2-cc51635514b8,478d89d0-eb4f-4a8a-abcd-24afb0330e2d,deleted,conversation,aed349bf-7566-4176-8c53-434ef9001c18,"{""ip_address"":""103.114.177.24"",""source"":""web""}",2026-04-18T20:11:33+05:30,conversation,aed349bf-7566-4176-8c53-434ef9001c18,"{""after"":{""action"":""deleted""},""before"":{},""compliance_hold"":false}"
73a63e9c-1453-4a47-bca1-142c2dc1d329,c0225655-4fc3-43c9-aad0-81a89ec5d446,9c456415-cc05-4682-8a5d-9b46e78cffd0,permission_changed,project,ebeed2cc-637d-4f6d-819d-dbfec886d4c9,"{""ip_address"":""103.245.33.94"",""source"":""web""}",2025-07-31T12:40:24+05:30,project,ebeed2cc-637d-4f6d-819d-dbfec886d4c9,"{""after"":{""action"":""permission_changed""},""before"":{},""compliance_hold"":false}"
d91e597e-52d4-46f9-b3a4-208844b10bef,661290a1-4ac9-4171-8661-0685f049f25d,9e224c0b-e0a3-424e-b1ba-a35c6dc67e9f,logout,tenant_api_key,02337712-5ce7-49a7-90a2-d6854e6e09cf,"{""ip_address"":""103.243.43.146"",""source"":""web""}",2025-10-11T10:10:55+05:30,tenant_api_key,02337712-5ce7-49a7-90a2-d6854e6e09cf,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
0f543675-d413-4efa-92be-2051b7324020,9ed53fe1-a9de-4546-b6a3-e76a3d02c934,3594db16-b787-408e-b937-a0ce84fea178,login,user,9482f9e4-7644-4a92-9c9d-682ae23808b7,"{""ip_address"":""103.36.60.146"",""source"":""system""}",2026-06-19T08:31:13+05:30,user,9482f9e4-7644-4a92-9c9d-682ae23808b7,"{""after"":{""action"":""login""},""before"":{},""compliance_hold"":false}"
c8f54fea-e0f0-4593-99f9-5dc1b1e56b38,3a61eb90-fec4-4f6a-aac5-a224f4afeeb3,2d97ad54-b3c9-4f79-bd19-469cd9319f55,archived,task,6ca457ed-0c06-47b0-862d-1d77220e7169,"{""ip_address"":""103.55.197.148"",""source"":""system""}",2025-09-02T08:37:52+05:30,task,6ca457ed-0c06-47b0-862d-1d77220e7169,"{""after"":{""action"":""archived""},""before"":{},""compliance_hold"":false}"
897e3137-1c57-4515-b977-b6b764f5c173,c9f09a45-5ab0-45d2-a6fa-1f75e0a963fd,fb7a53e5-8b7b-4d33-9862-5ee84a01c018,created,report,65a56502-8344-401a-943d-2cba62d48033,"{""ip_address"":""131.40.63.13"",""source"":""api""}",2026-02-23T13:48:19+05:30,report,65a56502-8344-401a-943d-2cba62d48033,"{""after"":{""action"":""created""},""before"":{},""compliance_hold"":false}"
77c19a24-8414-4c43-bc79-a177ef8f82b7,b1f7b9ec-9afe-450b-ac6a-82a3dcdf95a7,16b3cbf4-4b12-42c6-a7d1-2f6d15b93e42,updated,document,a776c29b-a981-44c0-9ca4-abca97e14f52,"{""ip_address"":""95.138.28.189"",""source"":""api""}",2026-03-03T07:33:11+05:30,document,a776c29b-a981-44c0-9ca4-abca97e14f52,"{""after"":{""action"":""updated""},""before"":{},""compliance_hold"":false}"
0e90df95-0a79-413a-9191-707883039e2c,f57bb162-b016-4107-9205-4debd7b88ea8,fc99cc9b-d4ec-4b64-a9bc-fa4adffcaef2,logout,user,58a656c6-e271-403b-aacb-6dcf6bf8901d,"{""ip_address"":""103.185.147.165"",""source"":""api""}",2025-12-18T17:26:13+05:30,user,58a656c6-e271-403b-aacb-6dcf6bf8901d,"{""after"":{""action"":""logout""},""before"":{},""compliance_hold"":false}"
11e716f0-a065-4018-a0ea-5b5f1d9fa85f,38af07ce-d1ee-4c01-9eec-717fd0f0a55b,a4af373f-373b-41ff-a813-ca01de80a1d9,updated,project,c0a7ecf6-f590-40ea-a1d4-e42c71d7504b,"{""ip_address"":""99.50.112.232"",""source"":""system""}",2026-05-14T05:26:00+05:30,project,c0a7ecf6-f590-40ea-a1d4-e42c71d7504b,"{""after"":{""action"":""updated""},""before"":{},""compliance_hold"":false}"
