id,tenant_id,title,source_type,status,tags,created_at,source_id,source_uri,mime_type,path,metadata,updated_at
824360ee-020a-4855-904d-8455c3c019ff,c7d81291-463a-4d37-a909-3ee5c3223900,Pricing Guide 00000,upload,processing,"[""sales"",""legal"",""support""]",2026-01-24T10:52:01+05:30,,https://files.example.com/pricing-guide-00000,application/pdf,/tenants/c7d81291-463a-4d37-a909-3ee5c3223900/documents/pricing-guide-00000,"{""soft_deleted"":false,""uploaded_from"":""dashboard"",""version"":2}",2026-02-11T10:52:01+05:30
60259715-011d-4645-ae81-d2353cd82a7d,4598b7de-3dae-4209-a205-331116f172ee,Product Brief 00001,api,indexed,"[""support"",""pricing""]",2026-05-01T12:14:35+05:30,,https://files.example.com/product-brief-00001,text/csv,/tenants/4598b7de-3dae-4209-a205-331116f172ee/documents/product-brief-00001,"{""soft_deleted"":false,""uploaded_from"":""sync"",""version"":7}",2026-05-24T12:14:35+05:30
15ecd94e-5169-4f8f-8fa6-a8ac01da1f12,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,Pricing Guide 00002,api,indexed,"[""sales""]",2026-05-01T13:22:41+05:30,,https://files.example.com/pricing-guide-00002,text/markdown,/tenants/0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3/documents/pricing-guide-00002,"{""soft_deleted"":false,""uploaded_from"":""sync"",""version"":6}",2026-06-22T18:00:00+05:30
b74d939d-241c-4a42-9bd3-f6ac71e218ea,51aede00-cdcb-4279-ab8f-10f40467e900,Support FAQ 00003,confluence,indexed,"[""legal"",""security"",""support""]",2026-06-20T13:45:39+05:30,,https://files.example.com/support-faq-00003,text/markdown,/tenants/51aede00-cdcb-4279-ab8f-10f40467e900/documents/support-faq-00003,"{""soft_deleted"":false,""uploaded_from"":""api"",""version"":1}",2026-06-22T18:00:00+05:30
5e887e7e-66a5-4ae0-a32c-26d9b2af24c4,beb85c12-f4a9-4d5e-b758-69ceab3762f4,Support FAQ 00004,confluence,indexed,"[""sales""]",2026-02-07T04:09:34+05:30,,https://files.example.com/support-faq-00004,text/markdown,/tenants/beb85c12-f4a9-4d5e-b758-69ceab3762f4/documents/support-faq-00004,"{""soft_deleted"":false,""uploaded_from"":""sync"",""version"":5}",2026-04-20T04:09:34+05:30
f53af3f8-6a4d-4e91-9d54-79111cbcfb60,4c280ffb-8d40-4c63-915f-3972b01b44bb,Support FAQ 00005,notion,indexed,"[""sales""]",2025-11-19T10:39:34+05:30,,https://files.example.com/support-faq-00005,application/pdf,/tenants/4c280ffb-8d40-4c63-915f-3972b01b44bb/documents/support-faq-00005,"{""soft_deleted"":false,""uploaded_from"":""sync"",""version"":6}",2025-12-29T10:39:34+05:30
cbf13179-9100-4065-ae49-d566e4166da8,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,Pricing Guide 00006,upload,indexed,"[""sales""]",2025-07-24T14:30:07+05:30,,https://files.example.com/pricing-guide-00006,text/csv,/tenants/6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80/documents/pricing-guide-00006,"{""soft_deleted"":false,""uploaded_from"":""dashboard"",""version"":3}",2025-08-22T14:30:07+05:30
ae600988-167d-4ebb-be4b-b66a2b16e2a5,60e6e333-7cd9-4623-a199-503967b22f0c,Onboarding SOP 00007,google_drive,indexed,"[""pricing""]",2025-10-11T12:24:17+05:30,,https://files.example.com/onboarding-sop-00007,text/markdown,/tenants/60e6e333-7cd9-4623-a199-503967b22f0c/documents/onboarding-sop-00007,"{""soft_deleted"":false,""uploaded_from"":""api"",""version"":1}",2025-12-12T12:24:17+05:30
36e6fa21-0e29-4e95-8fff-5c4c90775722,99b7f502-bf98-4c51-8fce-0c2e042d862d,Onboarding SOP 00008,upload,indexed,"[""security""]",2025-12-08T10:11:42+05:30,,https://files.example.com/onboarding-sop-00008,application/pdf,/tenants/99b7f502-bf98-4c51-8fce-0c2e042d862d/documents/onboarding-sop-00008,"{""soft_deleted"":false,""uploaded_from"":""api"",""version"":2}",2026-02-23T10:11:42+05:30
c06eec09-85b1-49d5-9f97-eb0a7b4a026e,74d15667-e8d9-4bc5-96b2-2cae0ca42248,Security Policy 00009,upload,indexed,"[""onboarding""]",2026-03-17T14:47:57+05:30,,https://files.example.com/security-policy-00009,application/pdf,/tenants/74d15667-e8d9-4bc5-96b2-2cae0ca42248/documents/security-policy-00009,"{""soft_deleted"":false,""uploaded_from"":""dashboard"",""version"":2}",2026-05-09T14:47:57+05:30
9731721b-e8ac-45c3-b285-73ef6c3a21e6,d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd,Product Brief 00010,notion,indexed,"[""onboarding""]",2025-07-28T03:54:20+05:30,,https://files.example.com/product-brief-00010,application/vnd.openxmlformats-officedocument.wordprocessingml.document,/tenants/d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd/documents/product-brief-00010,"{""soft_deleted"":false,""uploaded_from"":""dashboard"",""version"":7}",2025-08-16T03:54:20+05:30
927f4c66-7fbf-4b16-980a-d30217d80dd1,07650c52-892e-4f8a-b45b-b851d90db0fd,Onboarding SOP 00011,upload,indexed,"[""pricing"",""legal""]",2026-02-05T10:20:06+05:30,,https://files.example.com/onboarding-sop-00011,application/vnd.openxmlformats-officedocument.wordprocessingml.document,/tenants/07650c52-892e-4f8a-b45b-b851d90db0fd/documents/onboarding-sop-00011,"{""soft_deleted"":false,""uploaded_from"":""sync"",""version"":2}",2026-03-19T10:20:06+05:30
0e7357ff-4e2a-42d5-9349-00fbe3610992,46d5dd02-9c48-4d80-8ff9-2078da3c6d46,Product Brief 00012,upload,indexed,"[""sales"",""pricing"",""onboarding""]",2026-01-02T15:51:23+05:30,,https://files.example.com/product-brief-00012,text/csv,/tenants/46d5dd02-9c48-4d80-8ff9-2078da3c6d46/documents/product-brief-00012,"{""soft_deleted"":false,""uploaded_from"":""api"",""version"":3}",2026-03-23T15:51:23+05:30
102f7147-3eef-4b62-acfc-7a40bec7fd03,3bf589a2-07d1-4dcf-9c83-823cada0d607,Onboarding SOP 00013,notion,indexed,"[""onboarding"",""security"",""legal""]",2026-02-16T11:57:30+05:30,,https://files.example.com/onboarding-sop-00013,text/markdown,/tenants/3bf589a2-07d1-4dcf-9c83-823cada0d607/documents/onboarding-sop-00013,"{""soft_deleted"":false,""uploaded_from"":""dashboard"",""version"":5}",2026-04-25T11:57:30+05:30
d0edeab4-4cd8-4180-b8ac-d471252fd0ee,49026c7f-4614-4430-9b2e-4efbce1c11be,Onboarding SOP 00014,confluence,indexed,"[""support""]",2026-05-15T03:41:47+05:30,,https://files.example.com/onboarding-sop-00014,text/markdown,/tenants/49026c7f-4614-4430-9b2e-4efbce1c11be/documents/onboarding-sop-00014,"{""soft_deleted"":false,""uploaded_from"":""api"",""version"":4}",2026-06-22T18:00:00+05:30
8646797c-b012-43e5-b125-ed03c5f0fbdf,5b3e3188-26b2-41f8-8d4e-57067597768b,Onboarding SOP 00015,confluence,indexed,"[""support""]",2026-03-22T03:29:23+05:30,,https://files.example.com/onboarding-sop-00015,text/markdown,/tenants/5b3e3188-26b2-41f8-8d4e-57067597768b/documents/onboarding-sop-00015,"{""soft_deleted"":false,""uploaded_from"":""dashboard"",""version"":1}",2026-06-17T03:29:23+05:30
