id,tenant_id,name,description,created_at,updated_at
d943ee47-ea17-4782-95da-a006269dd499,c7d81291-463a-4d37-a909-3ee5c3223900,admin,Admin access for Northstar AI 00000,2025-08-19T12:11:33+05:30,2025-12-16T12:11:33+05:30
f90fa20d-4ce2-4aec-a5ae-c24ca100370a,4598b7de-3dae-4209-a205-331116f172ee,manager,Manager access for Evergreen AI 00001,2025-11-08T17:35:13+05:30,2025-12-25T17:35:13+05:30
faf2e2a2-dc9c-4c2a-bccd-5fc475b22a21,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,analyst,Analyst access for Clearline Health 00002,2026-05-27T05:59:24+05:30,2026-06-22T18:00:00+05:30
6e09a6e3-b871-46e5-8c00-d19e4225ae3b,51aede00-cdcb-4279-ab8f-10f40467e900,agent_operator,Agent Operator access for Clearline Analytics 00003,2025-08-26T16:32:34+05:30,2025-09-13T16:32:34+05:30
1ef404cf-936f-435c-bf7c-3aa1e72360cc,beb85c12-f4a9-4d5e-b758-69ceab3762f4,support,Support access for Vertex AI 00004,2025-11-22T09:35:12+05:30,2026-03-01T09:35:12+05:30
e50de95a-de3e-4d7e-ad6b-5e9b5751f233,4c280ffb-8d40-4c63-915f-3972b01b44bb,viewer,Viewer access for Kairo Commerce 00005,2026-04-17T06:18:02+05:30,2026-06-22T18:00:00+05:30
e1b29ad4-b1cf-47f3-820d-a05fcd784166,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,admin,Admin access for Cloudlane Labs 00006,2026-04-11T00:51:32+05:30,2026-06-22T18:00:00+05:30
9708a1c0-c732-4329-9aa0-d6a58288f6b8,60e6e333-7cd9-4623-a199-503967b22f0c,manager,Manager access for Silverline Works 00007,2025-06-26T03:52:45+05:30,2025-10-21T03:52:45+05:30
3a7a512c-fae0-4def-924b-a9914e8b242e,99b7f502-bf98-4c51-8fce-0c2e042d862d,analyst,Analyst access for Sparkgrid Health 00008,2025-11-06T02:15:52+05:30,2026-03-24T02:15:52+05:30
ac523daa-57f3-4bfa-8d0d-222f0038ab36,74d15667-e8d9-4bc5-96b2-2cae0ca42248,agent_operator,Agent Operator access for Kairo Services 00009,2026-01-26T07:41:09+05:30,2026-06-12T07:41:09+05:30
022d53e0-1d0e-498c-bbe7-da4583572bb4,d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd,support,Support access for Silverline Financial 00010,2025-09-22T02:03:06+05:30,2025-12-05T02:03:06+05:30
