id,name,domain,created_at,slug,industry,plan,status,trial_ends_at,is_active,updated_at
c7d81291-463a-4d37-a909-3ee5c3223900,Northstar AI 00000,northstar-ai-00000.example.com,2025-08-19T12:11:33+05:30,northstar-ai-00000,Professional Services,enterprise,active,,true,2025-12-16T12:11:33+05:30
4598b7de-3dae-4209-a205-331116f172ee,Evergreen AI 00001,evergreen-ai-00001.example.com,2025-11-08T17:35:13+05:30,evergreen-ai-00001,Healthcare,business,active,,true,2025-12-25T17:35:13+05:30
0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,Clearline Health 00002,clearline-health-00002.example.com,2026-05-27T05:59:24+05:30,clearline-health-00002,Logistics,enterprise,trialing,2026-06-10T05:59:24+05:30,true,2026-06-22T18:00:00+05:30
51aede00-cdcb-4279-ab8f-10f40467e900,Clearline Analytics 00003,clearline-analytics-00003.example.com,2025-08-26T16:32:34+05:30,clearline-analytics-00003,SaaS,starter,active,,true,2025-09-13T16:32:34+05:30
beb85c12-f4a9-4d5e-b758-69ceab3762f4,Vertex AI 00004,vertex-ai-00004.example.com,2025-11-22T09:35:12+05:30,vertex-ai-00004,Fintech,business,active,,true,2026-03-01T09:35:12+05:30
4c280ffb-8d40-4c63-915f-3972b01b44bb,Kairo Commerce 00005,kairo-commerce-00005.example.com,2026-04-17T06:18:02+05:30,kairo-commerce-00005,SaaS,business,active,,true,2026-06-22T18:00:00+05:30
6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,Cloudlane Labs 00006,cloudlane-labs-00006.example.com,2026-04-11T00:51:32+05:30,cloudlane-labs-00006,Fintech,starter,active,,true,2026-06-22T18:00:00+05:30
60e6e333-7cd9-4623-a199-503967b22f0c,Silverline Works 00007,silverline-works-00007.example.com,2025-06-26T03:52:45+05:30,silverline-works-00007,Healthcare,business,active,,true,2025-10-21T03:52:45+05:30
99b7f502-bf98-4c51-8fce-0c2e042d862d,Sparkgrid Health 00008,sparkgrid-health-00008.example.com,2025-11-06T02:15:52+05:30,sparkgrid-health-00008,Retail,growth,active,,true,2026-03-24T02:15:52+05:30
74d15667-e8d9-4bc5-96b2-2cae0ca42248,Kairo Services 00009,kairo-services-00009.example.com,2026-01-26T07:41:09+05:30,kairo-services-00009,Fintech,free,active,,true,2026-06-12T07:41:09+05:30
