id,tenant_id,metric_date,metric_name,metric_value,dimensions,created_at
88d191b7-b2a0-410f-8beb-05946c7b808f,c7d81291-463a-4d37-a909-3ee5c3223900,2026-06-02,daily_active_users,275,"{""channel"":""web"",""industry"":""Professional Services"",""plan"":""enterprise""}",2026-06-22T18:00:00+05:30
0be76926-cb11-41fb-bfed-0bb5c3f41f5d,4598b7de-3dae-4209-a205-331116f172ee,2025-10-06,monthly_active_users,697,"{""channel"":""whatsapp"",""industry"":""Healthcare"",""plan"":""business""}",2026-06-22T18:00:00+05:30
db8a7e48-edc7-4721-b133-73cf6790f350,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,2025-11-07,session_duration_seconds,1667,"{""channel"":""api"",""industry"":""Logistics"",""plan"":""enterprise""}",2026-06-22T18:00:00+05:30
b7fcbe69-fcd3-449f-a326-7f085506a31e,51aede00-cdcb-4279-ab8f-10f40467e900,2026-02-11,login_frequency,1195,"{""channel"":""slack"",""industry"":""SaaS"",""plan"":""starter""}",2026-06-22T18:00:00+05:30
7b170ef7-ebc4-4ebd-a167-9fa30ac95580,beb85c12-f4a9-4d5e-b758-69ceab3762f4,2026-02-16,api_calls,803,"{""channel"":""whatsapp"",""industry"":""Fintech"",""plan"":""business""}",2026-06-22T18:00:00+05:30
cc3ea370-9495-4a3d-b129-a0fe5707d0e4,4c280ffb-8d40-4c63-915f-3972b01b44bb,2026-02-27,error_rate,0.6735,"{""channel"":""slack"",""industry"":""SaaS"",""plan"":""business""}",2026-06-22T18:00:00+05:30
b380e10a-c35b-41db-b8a0-78c885988d07,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,2025-12-17,lead_conversion_rate,0.3466,"{""channel"":""voice"",""industry"":""Fintech"",""plan"":""starter""}",2026-06-22T18:00:00+05:30
d0c7232e-cfca-473d-bc26-9a4aed7abe91,60e6e333-7cd9-4623-a199-503967b22f0c,2025-10-20,trial_to_paid_conversion,1527,"{""channel"":""email"",""industry"":""Healthcare"",""plan"":""business""}",2026-06-22T18:00:00+05:30
7be8132c-ac23-4d51-b5cf-bc74a22f18b9,99b7f502-bf98-4c51-8fce-0c2e042d862d,2026-03-24,retention_rate,0.8123,"{""channel"":""whatsapp"",""industry"":""Retail"",""plan"":""growth""}",2026-06-22T18:00:00+05:30
2827fc4d-5a1d-4f87-824e-b680b5ac6583,74d15667-e8d9-4bc5-96b2-2cae0ca42248,2026-04-30,churn_rate,0.555,"{""channel"":""api"",""industry"":""Fintech"",""plan"":""free""}",2026-06-22T18:00:00+05:30
fcacbbb8-e1ce-485f-83b5-4d2e181ebe76,d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd,2026-01-23,messages_sent,1682,"{""channel"":""web"",""industry"":""Travel"",""plan"":""growth""}",2026-06-22T18:00:00+05:30
259e217d-86b6-4461-bf3a-f515fda93a45,07650c52-892e-4f8a-b45b-b851d90db0fd,2025-10-05,agent_resolution_rate,0.7175,"{""channel"":""whatsapp"",""industry"":""Retail"",""plan"":""starter""}",2026-06-22T18:00:00+05:30
18836564-e0fb-4d21-a2c0-b4535d5c561f,46d5dd02-9c48-4d80-8ff9-2078da3c6d46,2025-06-29,document_index_success_rate,0.9641,"{""channel"":""web"",""industry"":""Manufacturing"",""plan"":""business""}",2026-06-22T18:00:00+05:30
5a8ba650-d8f6-40c5-a81e-d3465b7f4a01,3bf589a2-07d1-4dcf-9c83-823cada0d607,2026-04-26,daily_active_users,290,"{""channel"":""whatsapp"",""industry"":""Manufacturing"",""plan"":""growth""}",2026-06-22T18:00:00+05:30
