id,tenant_id,name,role,system_prompt,tools,created_at,agent_type,model,is_active,updated_at
bd492133-0204-43b6-aa21-621ef1c541da,c7d81291-463a-4d37-a909-3ee5c3223900,Sales Assistant 1,sales_assistant,You are Follei's sales assistant for Professional Services workflows.,"[""billing.lookup"",""calendar.book"",""email.send""]",2026-03-29T11:22:03+05:30,autonomous,o4-mini,true,2026-06-04T11:22:03+05:30
1c8e33ad-038f-4536-99cf-4601e4a1f11c,4598b7de-3dae-4209-a205-331116f172ee,Sales Assistant 2,sales_assistant,You are Follei's sales assistant for Healthcare workflows.,"[""crm.search"",""knowledge.search"",""email.send""]",2025-10-24T12:01:44+05:30,autonomous,gpt-4.1-mini,true,2026-01-04T12:01:44+05:30
0efdfd58-8f3c-4a19-a6d8-59eadca6d30c,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,Knowledge Retriever 3,knowledge_retriever,You are Follei's knowledge retriever for Logistics workflows.,"[""email.send"",""calendar.book"",""crm.search"",""knowledge.search""]",2025-08-19T02:58:22+05:30,retrieval,o4-mini,true,2025-08-21T02:58:22+05:30
f73fb191-4676-4f09-9de4-e35557246dd9,51aede00-cdcb-4279-ab8f-10f40467e900,Success Coach 4,success_coach,You are Follei's success coach for SaaS workflows.,"[""knowledge.search"",""calendar.book""]",2025-07-22T12:10:23+05:30,autonomous,gpt-4.1,true,2025-07-27T12:10:23+05:30
a6296744-0899-4d32-bbf8-7a5ee726211b,beb85c12-f4a9-4d5e-b758-69ceab3762f4,Success Coach 5,success_coach,You are Follei's success coach for Fintech workflows.,"[""knowledge.search"",""calendar.book"",""billing.lookup""]",2026-02-26T21:23:52+05:30,retrieval,gpt-4o-mini,true,2026-03-25T21:23:52+05:30
4e60b9f1-016f-404a-a100-475ac5ed3676,4c280ffb-8d40-4c63-915f-3972b01b44bb,Knowledge Retriever 6,knowledge_retriever,You are Follei's knowledge retriever for SaaS workflows.,"[""crm.search"",""email.send"",""billing.lookup"",""calendar.book""]",2026-03-13T01:57:42+05:30,autonomous,gpt-4.1-mini,true,2026-05-13T01:57:42+05:30
2202c9cf-f5ef-4352-b786-4593190b9b17,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,Success Coach 7,success_coach,You are Follei's success coach for Fintech workflows.,"[""billing.lookup"",""email.send"",""calendar.book""]",2025-09-12T13:42:52+05:30,workflow,claude-3.5-sonnet,true,2025-10-23T13:42:52+05:30
015b0625-fc16-4d81-b188-e7c44189b7af,60e6e333-7cd9-4623-a199-503967b22f0c,Billing Helper 1,billing_helper,You are Follei's billing helper for Healthcare workflows.,"[""email.send"",""crm.search"",""billing.lookup""]",2026-04-10T06:44:27+05:30,autonomous,gpt-4o-mini,true,2026-06-16T06:44:27+05:30
960451c1-e6ee-4230-9b19-31fc43003066,99b7f502-bf98-4c51-8fce-0c2e042d862d,Support Agent 2,support_agent,You are Follei's support agent for Retail workflows.,"[""email.send"",""billing.lookup""]",2026-03-02T15:03:56+05:30,retrieval,gpt-4.1-mini,true,2026-04-07T15:03:56+05:30
86b194a8-084f-4898-8614-616ec3b446f3,74d15667-e8d9-4bc5-96b2-2cae0ca42248,Billing Helper 3,billing_helper,You are Follei's billing helper for Fintech workflows.,"[""crm.search"",""knowledge.search"",""billing.lookup"",""calendar.book""]",2026-02-21T23:47:16+05:30,copilot,gpt-4o-mini,true,2026-03-05T23:47:16+05:30
0c220ce0-7464-43d9-b60e-140666fde0c8,d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd,Support Agent 4,support_agent,You are Follei's support agent for Travel workflows.,"[""calendar.book"",""knowledge.search""]",2025-08-12T02:06:33+05:30,retrieval,gpt-4.1-mini,true,2025-09-09T02:06:33+05:30
f8d01b58-8be3-4820-aa68-4414079b7807,07650c52-892e-4f8a-b45b-b851d90db0fd,Success Coach 5,success_coach,You are Follei's success coach for Retail workflows.,"[""billing.lookup"",""knowledge.search""]",2025-11-16T03:51:11+05:30,autonomous,claude-3.5-sonnet,true,2025-12-09T03:51:11+05:30
0ea5dc0f-52a8-4fc2-8d6b-763661686ba4,46d5dd02-9c48-4d80-8ff9-2078da3c6d46,Sales Assistant 6,sales_assistant,You are Follei's sales assistant for Manufacturing workflows.,"[""crm.search"",""email.send""]",2026-05-25T08:39:56+05:30,autonomous,claude-3.5-sonnet,true,2026-06-07T08:39:56+05:30
48eaf80e-dd80-4595-bb62-8f8ee9e75cb4,3bf589a2-07d1-4dcf-9c83-823cada0d607,Billing Helper 7,billing_helper,You are Follei's billing helper for Manufacturing workflows.,"[""billing.lookup"",""email.send"",""crm.search"",""knowledge.search""]",2026-06-20T01:48:39+05:30,autonomous,gpt-4.1,false,2026-06-22T18:00:00+05:30
8ec767f7-6aad-4d19-8678-dedd7a41a9cb,49026c7f-4614-4430-9b2e-4efbce1c11be,Success Coach 1,success_coach,You are Follei's success coach for SaaS workflows.,"[""email.send"",""knowledge.search"",""crm.search""]",2025-09-03T03:48:15+05:30,retrieval,claude-3.5-sonnet,true,2025-09-26T03:48:15+05:30
2c14bf5e-a67e-4592-8bb1-6683eb2aae2a,5b3e3188-26b2-41f8-8d4e-57067597768b,Support Agent 2,support_agent,You are Follei's support agent for Retail workflows.,"[""knowledge.search"",""calendar.book"",""email.send"",""crm.search""]",2025-10-08T06:16:55+05:30,autonomous,claude-3.5-sonnet,true,2026-01-01T06:16:55+05:30
8464e80f-fc88-49c9-9efc-dcc1e0900424,4d2467ce-3b58-4848-accb-0a4dc3cba1ac,Billing Helper 3,billing_helper,You are Follei's billing helper for SaaS workflows.,"[""crm.search"",""email.send""]",2025-07-02T04:25:30+05:30,retrieval,o4-mini,true,2025-08-12T04:25:30+05:30
b75a9f18-64ba-47c1-b1f5-f0d515d21a2a,2f76e7b9-7d11-4c1f-bca7-512fe16c55d0,Knowledge Retriever 4,knowledge_retriever,You are Follei's knowledge retriever for Healthcare workflows.,"[""billing.lookup"",""email.send"",""crm.search""]",2025-10-10T03:53:29+05:30,autonomous,gpt-4.1-mini,true,2025-10-26T03:53:29+05:30
f447a729-ec93-4e4d-852b-ae9a1049ab3c,8df5555c-86a1-4558-b57a-c3877a013d64,Sales Assistant 5,sales_assistant,You are Follei's sales assistant for Manufacturing workflows.,"[""knowledge.search"",""crm.search"",""billing.lookup""]",2025-07-05T11:30:26+05:30,copilot,claude-3.5-sonnet,true,2025-08-29T11:30:26+05:30
ec2dfed7-995c-4cd0-91e8-ddb8309286e8,ace3e79d-cd39-4334-a57b-b5d4e459a08f,Support Agent 6,support_agent,You are Follei's support agent for Travel workflows.,"[""billing.lookup"",""calendar.book"",""crm.search"",""email.send""]",2025-11-03T11:26:55+05:30,copilot,gpt-4o-mini,true,2025-11-29T11:26:55+05:30
