id,tenant_id,created_by,project_id,report_type,title,status,period_start,period_end,metrics,file_url,generated_at,deleted_at,created_at
0f3952df-c7b5-4579-bbd6-fcb513e01ffc,c7d81291-463a-4d37-a909-3ee5c3223900,df035fde-0caa-4b97-a216-e3bd7fb98fac,5840ad5d-1c67-4c9c-96ec-c4e2102cf173,usage,Quarterly Professional Services Report 00000,generated,2026-02-28,2026-05-29,"{""api_calls"":460362,""dau"":550,""error_rate"":0.0252,""mau"":5597,""retention_rate"":0.6949}",https://reports.example.com/northstar-ai-00000/report-00000.pdf,2026-05-29T22:32:22+05:30,,2026-05-29T22:08:22+05:30
396aec2d-f5d2-4afb-856f-ad81e5919cb3,4598b7de-3dae-4209-a205-331116f172ee,17cbe927-9a43-4460-833f-10ec2283afbf,6bd19cc1-1405-417a-8058-b1cfb6b3562b,conversion,Quarterly Healthcare Report 00001,generated,2025-07-15,2025-08-14,"{""api_calls"":142517,""dau"":475,""error_rate"":0.0571,""mau"":30640,""retention_rate"":0.4695}",https://reports.example.com/evergreen-ai-00001/report-00001.pdf,2025-08-14T15:12:09+05:30,,2025-08-14T14:52:09+05:30
b2bbfcff-1472-410f-876f-cbbd0f598bc7,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,5e87ec75-16da-4874-82d6-56aeb9f96848,8922fbbf-0fa6-4c9e-b989-8a7fe43ccf58,retention,Quarterly Logistics Report 00002,generated,2025-06-16,2025-07-16,"{""api_calls"":150381,""dau"":142,""error_rate"":0.0098,""mau"":15421,""retention_rate"":0.763}",https://reports.example.com/clearline-health-00002/report-00002.pdf,2025-07-16T01:39:50+05:30,,2025-07-16T01:15:50+05:30
c4327c1e-e4e1-42c8-b22d-5ef510d7841c,51aede00-cdcb-4279-ab8f-10f40467e900,cdbc2fde-bd0c-4d83-b9c6-ecfb7eeabdc6,b343ee00-fac3-4b5e-8429-4eb709f2820e,security,Weekly SaaS Report 00003,generated,2026-05-31,2026-06-07,"{""api_calls"":245106,""dau"":1272,""error_rate"":0.0382,""mau"":21456,""retention_rate"":0.6967}",https://reports.example.com/clearline-analytics-00003/report-00003.pdf,2026-06-07T05:03:53+05:30,,2026-06-07T04:56:53+05:30
dc59dd55-554b-4ba7-a5ae-3ccbe056e80f,beb85c12-f4a9-4d5e-b758-69ceab3762f4,5bddff64-1889-44d1-b466-b0d545e50115,033311cd-860d-4ca7-b5a0-945e26d18d16,usage,Weekly Fintech Report 00004,generated,2026-05-19,2026-05-26,"{""api_calls"":32515,""dau"":576,""error_rate"":0.0156,""mau"":27905,""retention_rate"":0.9557}",https://reports.example.com/vertex-ai-00004/report-00004.pdf,2026-05-26T06:18:35+05:30,,2026-05-26T05:53:35+05:30
3097d21a-1ade-4019-8218-c7e634f28632,4c280ffb-8d40-4c63-915f-3972b01b44bb,37019b8f-8261-45ad-990f-fa27ec3d255e,67d09058-3bf5-4c47-a90f-a6261d711517,conversion,Monthly SaaS Report 00005,generated,2025-05-26,2025-08-24,"{""api_calls"":350659,""dau"":887,""error_rate"":0.0621,""mau"":26619,""retention_rate"":0.4653}",https://reports.example.com/kairo-commerce-00005/report-00005.pdf,2025-08-24T17:23:26+05:30,,2025-08-24T16:56:26+05:30
a141a869-63e7-4579-95f1-c64bbe6b0a16,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,53ebe9ad-e6d1-446b-8777-01023c40e7ec,bb94433e-8219-4b79-a406-9981609876ea,conversion,Weekly Fintech Report 00006,failed,2025-04-25,2025-07-24,"{""api_calls"":34483,""dau"":544,""error_rate"":0.076,""mau"":42012,""retention_rate"":0.6226}",,,,2025-07-24T10:51:19+05:30
311ced66-888c-4680-9fc5-012982d9e30c,60e6e333-7cd9-4623-a199-503967b22f0c,fb1a4b7e-f510-43a4-a6a6-ef9b1c700328,6098bdaa-0069-4920-95cc-5b28c2cebe2b,security,Monthly Healthcare Report 00007,generated,2025-12-11,2026-01-10,"{""api_calls"":73782,""dau"":358,""error_rate"":0.0082,""mau"":16435,""retention_rate"":0.5931}",https://reports.example.com/silverline-works-00007/report-00007.pdf,2026-01-10T11:52:36+05:30,,2026-01-10T11:40:36+05:30
1f71b1c3-a64f-451f-9abf-a45b6d2fa758,99b7f502-bf98-4c51-8fce-0c2e042d862d,5b4b29ab-5e49-4a44-a282-e89104c383f2,22fc1aea-c302-44f1-bf90-6e1263670ac8,usage,Quarterly Retail Report 00008,generated,2025-08-11,2025-11-09,"{""api_calls"":64570,""dau"":49,""error_rate"":0.0647,""mau"":38736,""retention_rate"":0.915}",https://reports.example.com/sparkgrid-health-00008/report-00008.pdf,2025-11-09T03:57:29+05:30,,2025-11-09T03:27:29+05:30
4dc4308d-defb-407c-9db4-fd6b74c05bbe,74d15667-e8d9-4bc5-96b2-2cae0ca42248,196ce8e6-5d4d-4ab4-97d4-f11e5894cc22,266410b8-a0ca-4d4e-ba2a-172fefc2ad8a,conversion,Quarterly Fintech Report 00009,generated,2025-09-18,2025-09-25,"{""api_calls"":385627,""dau"":776,""error_rate"":0.0273,""mau"":44344,""retention_rate"":0.8488}",https://reports.example.com/kairo-services-00009/report-00009.pdf,2025-09-25T09:34:16+05:30,,2025-09-25T09:28:16+05:30
29ee140e-2467-41bb-9022-9000c9a4fbbf,d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd,54327c18-985f-4ae4-a004-690abd4cd853,950ab18e-82c7-4517-99fe-e317b0ecd2b8,retention,Monthly Travel Report 00010,generated,2026-04-06,2026-05-06,"{""api_calls"":204417,""dau"":1742,""error_rate"":0.0037,""mau"":26575,""retention_rate"":0.8375}",https://reports.example.com/silverline-financial-00010/report-00010.pdf,2026-05-06T05:35:02+05:30,,2026-05-06T05:10:02+05:30
